,R_ABS,G_ABS
575669,-20.99102298823861,-20.247776448309686
575784,-20.28819122830892,-19.58010187399352
576005,-20.48694013281452,-19.692774920664405
576071,-20.723164370221397,-20.01857779503793
576116,-20.40170636386905,-19.607981848592544
576205,-20.87308239671393,-20.086267042570245
576992,-21.698977695891767,-20.89199101294247
577971,-20.716783866576097,-19.982483104527223
578110,-21.957864611160883,-21.12163690838881
578120,-22.00132175904305,-21.21553032494109
578265,-21.349905018413562,-20.64889206677934
584087,-21.001527578644986,-20.62009327223392
584410,-20.185197026159358,-19.650021070164115
586277,-20.77956207436513,-20.0001149088823
589833,-21.962649750001077,-21.190834161325753
